,initial_rank,rounding_rank,mode_size,kernels,time,Потоки,kappa,retry
0,25,30,10,10,0.572829008102417,1,1,6
1,25,30,10,10,0.36859869956970215,2,1,6
2,25,30,10,10,0.5792028903961182,1,1,7
3,25,30,10,10,0.3601205348968506,2,1,7
4,25,30,10,10,0.5811569690704346,1,1,8
5,25,30,10,10,0.35273122787475586,2,1,8
6,25,30,10,10,0.5664005279541016,1,1,9
7,25,30,10,10,0.34630560874938965,2,1,9
8,25,30,10,10,0.5723013877868652,1,1,10
9,25,30,10,10,0.3536529541015625,2,1,10
10,25,30,10,10,0.9206414222717285,1,1,11
11,25,30,10,10,0.587148904800415,2,1,11
12,25,30,10,10,0.8982665538787842,1,1,12
13,25,30,10,10,0.539078950881958,2,1,12
14,25,30,10,10,0.9238467216491699,1,1,13
15,25,30,10,10,0.5703468322753906,2,1,13
16,25,30,10,10,0.9835777282714844,1,1,14
17,25,30,10,10,0.6092109680175781,2,1,14
18,30,36,10,10,1.9390337467193604,1,1,6
19,30,36,10,10,1.2220351696014404,2,1,6
20,30,36,10,10,2.293347120285034,1,1,7
21,30,36,10,10,1.436061143875122,2,1,7
22,30,36,10,10,2.5032923221588135,1,1,8
23,30,36,10,10,1.6477890014648438,2,1,8
24,30,36,10,10,2.119650363922119,1,1,9
25,30,36,10,10,1.2817573547363281,2,1,9
26,30,36,10,10,2.1814775466918945,1,1,10
27,30,36,10,10,1.3376667499542236,2,1,10
28,30,36,10,10,2.1434998512268066,1,1,11
29,30,36,10,10,1.3193550109863281,2,1,11
30,30,36,10,10,2.0512447357177734,1,1,12
31,30,36,10,10,1.3549063205718994,2,1,12
32,30,36,10,10,2.2613253593444824,1,1,13
33,30,36,10,10,1.4549212455749512,2,1,13
34,30,36,10,10,2.0936498641967773,1,1,14
35,30,36,10,10,1.3638999462127686,2,1,14
36,35,42,10,10,3.399538993835449,1,1,6
37,35,42,10,10,2.14180850982666,2,1,6
38,35,42,10,10,3.64766526222229,1,1,7
39,35,42,10,10,2.436039686203003,2,1,7
40,35,42,10,10,3.5912208557128906,1,1,8
41,35,42,10,10,2.243928909301758,2,1,8
42,35,42,10,10,3.069786548614502,1,1,9
43,35,42,10,10,2.033080816268921,2,1,9
44,35,42,10,10,3.5298099517822266,1,1,10
45,35,42,10,10,2.355116128921509,2,1,10
46,35,42,10,10,3.5759105682373047,1,1,11
47,35,42,10,10,2.2901675701141357,2,1,11
48,35,42,10,10,4.4012017250061035,1,1,12
49,35,42,10,10,2.884864568710327,2,1,12
50,35,42,10,10,3.95072865486145,1,1,13
51,35,42,10,10,2.6108851432800293,2,1,13
52,35,42,10,10,3.368637800216675,1,1,14
53,35,42,10,10,2.1808838844299316,2,1,14
54,40,48,10,10,6.068063497543335,1,1,6
55,40,48,10,10,4.395272254943848,2,1,6
56,40,48,10,10,4.211313009262085,1,1,7
57,40,48,10,10,2.7379238605499268,2,1,7
58,40,48,10,10,4.178264379501343,1,1,8
59,40,48,10,10,2.6915130615234375,2,1,8
60,40,48,10,10,4.170229911804199,1,1,9
61,40,48,10,10,2.703951597213745,2,1,9
62,40,48,10,10,4.171624183654785,1,1,10
63,40,48,10,10,2.7236032485961914,2,1,10
64,40,48,10,10,4.134451627731323,1,1,11
65,40,48,10,10,2.6783230304718018,2,1,11
66,40,48,10,10,4.0865373611450195,1,1,12
67,40,48,10,10,2.6333587169647217,2,1,12
68,40,48,10,10,4.190946340560913,1,1,13
69,40,48,10,10,2.719845771789551,2,1,13
70,40,48,10,10,4.185379505157471,1,1,14
71,40,48,10,10,2.7104270458221436,2,1,14
72,45,54,10,10,6.704931735992432,1,1,6
73,45,54,10,10,4.36396050453186,2,1,6
74,45,54,10,10,6.7135231494903564,1,1,7
75,45,54,10,10,4.387107610702515,2,1,7
76,45,54,10,10,6.811414003372192,1,1,8
77,45,54,10,10,4.406404733657837,2,1,8
78,45,54,10,10,6.709864139556885,1,1,9
79,45,54,10,10,4.363039970397949,2,1,9
80,45,54,10,10,6.7179296016693115,1,1,10
81,45,54,10,10,4.360445261001587,2,1,10
82,45,54,10,10,6.897630214691162,1,1,11
83,45,54,10,10,4.453861236572266,2,1,11
84,45,54,10,10,6.731205463409424,1,1,12
85,45,54,10,10,4.363306760787964,2,1,12
86,45,54,10,10,6.730899095535278,1,1,13
87,45,54,10,10,4.377906560897827,2,1,13
88,45,54,10,10,6.67819619178772,1,1,14
89,45,54,10,10,4.335502624511719,2,1,14
90,50,60,10,10,10.069460153579712,1,1,6
91,50,60,10,10,6.5274481773376465,2,1,6
92,50,60,10,10,10.415127038955688,1,1,7
93,50,60,10,10,6.758893251419067,2,1,7
94,50,60,10,10,10.14844298362732,1,1,8
95,50,60,10,10,6.596292018890381,2,1,8
96,50,60,10,10,10.329970598220825,1,1,9
97,50,60,10,10,6.684052228927612,2,1,9
98,50,60,10,10,10.41643500328064,1,1,10
99,50,60,10,10,6.862224817276001,2,1,10
100,50,60,10,10,10.197123050689697,1,1,11
101,50,60,10,10,6.618549346923828,2,1,11
102,50,60,10,10,10.712649822235107,1,1,12
103,50,60,10,10,6.906750917434692,2,1,12
104,50,60,10,10,10.900954008102417,1,1,13
105,50,60,10,10,7.073094367980957,2,1,13
106,50,60,10,10,10.629271745681763,1,1,14
107,50,60,10,10,6.809587240219116,2,1,14
108,55,66,10,10,14.03567361831665,1,1,6
109,55,66,10,10,9.112200021743774,2,1,6
110,55,66,10,10,14.514912843704224,1,1,7
111,55,66,10,10,9.348662376403809,2,1,7
112,55,66,10,10,14.389736652374268,1,1,8
113,55,66,10,10,9.304890394210815,2,1,8
114,55,66,10,10,13.863351821899414,1,1,9
115,55,66,10,10,8.996205806732178,2,1,9
116,55,66,10,10,13.964487791061401,1,1,10
117,55,66,10,10,9.012041568756104,2,1,10
118,55,66,10,10,13.99508285522461,1,1,11
119,55,66,10,10,9.011650085449219,2,1,11
120,55,66,10,10,14.213320255279541,1,1,12
121,55,66,10,10,9.094481468200684,2,1,12
122,55,66,10,10,13.927180290222168,1,1,13
123,55,66,10,10,8.977700471878052,2,1,13
124,55,66,10,10,14.18360424041748,1,1,14
125,55,66,10,10,9.084489107131958,2,1,14
126,60,72,10,10,19.261270999908447,1,1,6
