,dimension,oversampling,rank,precision
0,3,0,10,0.0002535084149005772
1,3,0,14,4.162214704850417e-06
2,3,0,18,2.2197033506381162e-07
3,3,0,22,1.2224849337687504e-08
4,3,0,26,1.0084646800731465e-08
5,3,0,30,1.0093848148529329e-08
6,3,1,10,2.5683837811676167e-05
7,3,1,14,1.2714017852467528e-06
8,3,1,18,1.3480086397386898e-07
9,3,1,22,1.0777852490429214e-08
10,3,1,26,1.0089642931374732e-08
11,3,1,30,1.0089406674243752e-08
12,3,3,10,2.1857816998492233e-05
13,3,3,14,9.44137128473207e-07
14,3,3,18,4.47540311761174e-08
15,3,3,22,1.0583093578191753e-08
16,3,3,26,1.009520907787804e-08
17,3,3,30,1.008904478329851e-08
18,3,5,10,2.0201321801470296e-05
19,3,5,14,8.863102853514063e-07
20,3,5,18,3.67562052433202e-08
21,3,5,22,1.031996570962199e-08
22,3,5,26,1.0089492385680061e-08
23,3,5,30,1.0089501994491875e-08
24,3,7,10,1.9782350309684253e-05
25,3,7,14,8.791688425834036e-07
26,3,7,18,3.6633396864998306e-08
27,3,7,22,1.0287880319576146e-08
28,3,7,26,1.0090279887850046e-08
29,3,7,30,1.0089488246422812e-08
30,4,0,10,0.0009089525670633839
31,4,0,14,6.898233247530434e-05
32,4,0,18,2.5492910716549464e-06
33,4,0,22,2.1336736328230756e-07
34,4,0,26,3.474612203559392e-08
35,4,0,30,2.1131226232830542e-08
36,4,0,34,2.098794253066469e-08
37,4,0,38,2.0983416371249985e-08
38,4,1,10,0.0002569726341813889
39,4,1,14,2.0846263003476687e-05
40,4,1,18,8.789508880484308e-07
41,4,1,22,1.6168010257806656e-07
42,4,1,26,2.2475881581589124e-08
43,4,1,30,2.1249048517194442e-08
44,4,1,34,2.0986288637256353e-08
45,4,1,38,2.0981840801191356e-08
46,4,3,10,0.00025437635123721987
47,4,3,14,1.0764071700279647e-05
48,4,3,18,6.594086019262649e-07
49,4,3,22,1.1371094801440601e-07
50,4,3,26,2.162925804454266e-08
51,4,3,30,2.1001637891972163e-08
52,4,3,34,2.098588984885654e-08
53,4,3,38,2.0981654256364376e-08
54,4,5,10,0.0002882570712713729
55,4,5,14,8.98955152231375e-06
56,4,5,18,6.570715357639032e-07
57,4,5,22,9.539201797016286e-08
58,4,5,26,2.159795361107522e-08
59,4,5,30,2.1019657435776748e-08
60,4,5,34,2.098367849313041e-08
61,4,5,38,2.0982211546244884e-08
62,4,7,10,0.00029057928795698357
63,4,7,14,9.09910060866189e-06
64,4,7,18,6.453171070002718e-07
65,4,7,22,9.587683616183101e-08
66,4,7,26,2.1544440156587076e-08
67,4,7,30,2.100439674057972e-08
68,4,7,34,2.0984005667020446e-08
69,4,7,38,2.0981695061396952e-08
