dimension,rank,kappa,precision
3,10,1.0,0.0008940955297995261
3,14,1.0,5.35422629927929e-06
3,18,1.0,8.470592901854526e-07
3,22,1.0,9.064656007219571e-08
3,26,1.0,1.1283091193810762e-08
3,30,1.0,1.0130934943510278e-08
3,10,1.5,0.00028227350442446415
3,14,1.5,7.324703678284553e-06
3,18,1.5,6.984283197623065e-07
3,22,1.5,2.937282563820685e-08
3,26,1.5,9.967781147777132e-09
3,30,1.5,1.0096118434684275e-08
3,10,2.1,0.0006368941394350748
3,14,2.1,4.115560357806339e-06
3,18,2.1,3.953261144133541e-07
3,22,2.1,2.080928238736405e-08
3,26,2.1,1.05204968291134e-08
3,30,2.1,1.0092002318339977e-08
3,10,3.0,0.0001059922488644135
3,14,3.0,2.3597265485562137e-06
3,18,3.0,1.4767226935046483e-07
3,22,3.0,1.548586045960338e-08
3,26,3.0,9.977506188673143e-09
3,30,3.0,1.0076816917860965e-08
4,10,1.0,0.0009631634971012865
4,14,1.0,0.00022167943847064886
4,18,1.0,6.956479034260386e-05
4,22,1.0,9.481862971730177e-07
4,26,1.0,1.2188747790681833e-07
4,30,1.0,4.4268608957010426e-08
4,10,1.5,0.0010990034748888037
4,14,1.5,3.541880573902577e-05
4,18,1.5,1.23660553250494e-06
4,22,1.5,3.262397530162012e-07
4,26,1.5,3.689399425228861e-08
4,30,1.5,2.0998778261434973e-08
4,10,2.1,0.0004979798917496406
4,14,2.1,3.6847975133302815e-05
4,18,2.1,3.073090211646366e-06
4,22,2.1,2.0319588491887803e-07
4,26,2.1,3.024533042342415e-08
4,30,2.1,2.111443734507241e-08
4,10,3.0,0.00028937418517918173
4,14,3.0,4.282001374513337e-05
4,18,3.0,2.26595622945709e-06
4,22,3.0,4.4187119733999566e-07
4,26,3.0,3.7337562889517446e-08
4,30,3.0,2.2886777625665257e-08
4,34,1.0,2.329435606746242e-08
4,38,1.0,2.1006670709930856e-08
4,34,1.5,2.1130947779268464e-08
4,38,1.5,2.0995674567932594e-08
4,34,2.1,2.100600827285348e-08
4,38,2.1,2.0985630679794343e-08
4,34,3.0,2.099834580102419e-08
4,38,3.0,2.099042177695307e-08
