,initial_rank,rounding_rank,mode_size,kernels,time,Потоки,kappa,retry
0,25,30,10,3,0.06108498573303223,1,1,6
1,25,30,10,3,0.03251028060913086,2,1,6
2,25,30,10,3,0.059104204177856445,1,1,7
3,25,30,10,3,0.030034780502319336,2,1,7
4,25,30,10,3,0.06419062614440918,1,1,8
5,25,30,10,3,0.03408241271972656,2,1,8
6,25,30,10,3,0.05902981758117676,1,1,9
7,25,30,10,3,0.02964186668395996,2,1,9
8,25,30,10,3,0.05889606475830078,1,1,10
9,25,30,10,3,0.029572486877441406,2,1,10
10,25,30,10,3,0.061174869537353516,1,1,11
11,25,30,10,3,0.030910253524780273,2,1,11
12,25,30,10,3,0.059903860092163086,1,1,12
13,25,30,10,3,0.030920743942260742,2,1,12
14,25,30,10,3,0.059331655502319336,1,1,13
15,25,30,10,3,0.030120372772216797,2,1,13
16,25,30,10,3,0.05823087692260742,1,1,14
17,25,30,10,3,0.030402183532714844,2,1,14
18,25,30,10,6,0.23590755462646484,1,1,6
19,25,30,10,6,0.14507246017456055,2,1,6
20,25,30,10,6,0.23111820220947266,1,1,7
21,25,30,10,6,0.14118170738220215,2,1,7
22,25,30,10,6,0.2385420799255371,1,1,8
23,25,30,10,6,0.14566898345947266,2,1,8
24,25,30,10,6,0.2359602451324463,1,1,9
25,25,30,10,6,0.14460206031799316,2,1,9
26,25,30,10,6,0.2353534698486328,1,1,10
27,25,30,10,6,0.14252209663391113,2,1,10
28,25,30,10,6,0.24636030197143555,1,1,11
29,25,30,10,6,0.15031051635742188,2,1,11
30,25,30,10,6,0.24987339973449707,1,1,12
31,25,30,10,6,0.15675616264343262,2,1,12
32,25,30,10,6,0.24457597732543945,1,1,13
33,25,30,10,6,0.14693737030029297,2,1,13
34,25,30,10,6,0.322767972946167,1,1,14
35,25,30,10,6,0.18323040008544922,2,1,14
36,25,30,10,9,0.4243335723876953,1,1,6
37,25,30,10,9,0.2494525909423828,2,1,6
38,25,30,10,9,0.4291229248046875,1,1,7
39,25,30,10,9,0.2501506805419922,2,1,7
40,25,30,10,9,0.4313502311706543,1,1,8
41,25,30,10,9,0.25800514221191406,2,1,8
42,25,30,10,9,0.42815232276916504,1,1,9
43,25,30,10,9,0.25441765785217285,2,1,9
44,25,30,10,9,0.42754292488098145,1,1,10
45,25,30,10,9,0.2526071071624756,2,1,10
46,25,30,10,9,0.42791152000427246,1,1,11
47,25,30,10,9,0.25730156898498535,2,1,11
48,25,30,10,9,0.42780280113220215,1,1,12
49,25,30,10,9,0.25588560104370117,2,1,12
50,25,30,10,9,0.43674755096435547,1,1,13
51,25,30,10,9,0.25893497467041016,2,1,13
52,25,30,10,9,0.4398324489593506,1,1,14
53,25,30,10,9,0.2635159492492676,2,1,14
54,25,30,10,12,0.8092458248138428,1,1,6
55,25,30,10,12,0.5033512115478516,2,1,6
56,25,30,10,12,0.8033983707427979,1,1,7
57,25,30,10,12,0.4999973773956299,2,1,7
58,25,30,10,12,0.7986187934875488,1,1,8
59,25,30,10,12,0.4930908679962158,2,1,8
60,25,30,10,12,0.7923376560211182,1,1,9
61,25,30,10,12,0.4895327091217041,2,1,9
62,25,30,10,12,0.8103306293487549,1,1,10
63,25,30,10,12,0.5017073154449463,2,1,10
64,25,30,10,12,0.7935445308685303,1,1,11
65,25,30,10,12,0.4895615577697754,2,1,11
66,25,30,10,12,0.8207755088806152,1,1,12
67,25,30,10,12,0.5049681663513184,2,1,12
68,25,30,10,12,0.7952542304992676,1,1,13
69,25,30,10,12,0.4952692985534668,2,1,13
70,25,30,10,12,0.794924259185791,1,1,14
71,25,30,10,12,0.4939005374908447,2,1,14
72,25,30,10,15,0.9976034164428711,1,1,6
73,25,30,10,15,0.619330883026123,2,1,6
74,25,30,10,15,0.9785020351409912,1,1,7
75,25,30,10,15,0.6006295680999756,2,1,7
76,25,30,10,15,1.0038013458251953,1,1,8
77,25,30,10,15,0.6210718154907227,2,1,8
78,25,30,10,15,0.9984748363494873,1,1,9
79,25,30,10,15,0.6207900047302246,2,1,9
80,25,30,10,15,0.9819297790527344,1,1,10
81,25,30,10,15,0.6140573024749756,2,1,10
82,25,30,10,15,0.968623161315918,1,1,11
83,25,30,10,15,0.5959310531616211,2,1,11
84,25,30,10,15,0.9729740619659424,1,1,12
85,25,30,10,15,0.5949125289916992,2,1,12
86,25,30,10,15,0.9710507392883301,1,1,13
87,25,30,10,15,0.5966646671295166,2,1,13
88,25,30,10,15,1.05635666847229,1,1,14
89,25,30,10,15,0.6656663417816162,2,1,14
90,25,30,10,18,1.420694351196289,1,1,6
91,25,30,10,18,0.9118340015411377,2,1,6
92,25,30,10,18,1.3152310848236084,1,1,7
93,25,30,10,18,0.8235037326812744,2,1,7
94,25,30,10,18,1.4062578678131104,1,1,8
95,25,30,10,18,0.9211056232452393,2,1,8
96,25,30,10,18,1.2595832347869873,1,1,9
97,25,30,10,18,0.7952165603637695,2,1,9
98,25,30,10,18,1.4689302444458008,1,1,10
99,25,30,10,18,0.8476171493530273,2,1,10
100,25,30,10,18,1.459519624710083,1,1,11
101,25,30,10,18,0.8523349761962891,2,1,11
102,25,30,10,18,1.3586585521697998,1,1,12
103,25,30,10,18,0.8567352294921875,2,1,12
104,25,30,10,18,1.2991652488708496,1,1,13
105,25,30,10,18,0.8132133483886719,2,1,13
106,25,30,10,18,1.6098988056182861,1,1,14
107,25,30,10,18,0.9851083755493164,2,1,14
108,25,30,10,21,1.6136806011199951,1,1,6
109,25,30,10,21,0.9652116298675537,2,1,6
110,25,30,10,21,1.5455420017242432,1,1,7
111,25,30,10,21,0.9675419330596924,2,1,7
112,25,30,10,21,1.6836004257202148,1,1,8
113,25,30,10,21,1.0722661018371582,2,1,8
114,25,30,10,21,1.6268765926361084,1,1,9
115,25,30,10,21,0.9683153629302979,2,1,9
116,25,30,10,21,1.5339100360870361,1,1,10
117,25,30,10,21,0.9610879421234131,2,1,10
118,25,30,10,21,1.5054540634155273,1,1,11
119,25,30,10,21,0.9277627468109131,2,1,11
120,25,30,10,21,1.4962594509124756,1,1,12
121,25,30,10,21,0.9240360260009766,2,1,12
122,25,30,10,21,1.479231595993042,1,1,13
123,25,30,10,21,0.9160497188568115,2,1,13
124,25,30,10,21,1.4669694900512695,1,1,14
125,25,30,10,21,0.912196159362793,2,1,14
126,25,30,10,24,1.8212037086486816,1,1,6
127,25,30,10,24,1.106290340423584,2,1,6
128,25,30,10,24,1.7226407527923584,1,1,7
129,25,30,10,24,1.0676021575927734,2,1,7
130,25,30,10,24,1.7251620292663574,1,1,8
131,25,30,10,24,1.0804758071899414,2,1,8
132,25,30,10,24,1.877580165863037,1,1,9
133,25,30,10,24,1.1734628677368164,2,1,9
134,25,30,10,24,1.9716084003448486,1,1,10
135,25,30,10,24,1.2441120147705078,2,1,10
136,25,30,10,24,1.730422019958496,1,1,11
137,25,30,10,24,1.094736099243164,2,1,11
138,25,30,10,24,1.8439750671386719,1,1,12
139,25,30,10,24,1.077256202697754,2,1,12
140,25,30,10,24,1.7546360492706299,1,1,13
141,25,30,10,24,1.0985090732574463,2,1,13
142,25,30,10,24,1.710740089416504,1,1,14
143,25,30,10,24,1.061372995376587,2,1,14
144,25,30,10,27,2.014492988586426,1,1,6
145,25,30,10,27,1.1928589344024658,2,1,6
146,25,30,10,27,1.8826074600219727,1,1,7
147,25,30,10,27,1.1707251071929932,2,1,7
148,25,30,10,27,1.904872179031372,1,1,8
149,25,30,10,27,1.1813054084777832,2,1,8
150,25,30,10,27,1.8648631572723389,1,1,9
151,25,30,10,27,1.1556932926177979,2,1,9
152,25,30,10,27,1.8974993228912354,1,1,10
153,25,30,10,27,1.172597885131836,2,1,10
154,25,30,10,27,1.8621385097503662,1,1,11
155,25,30,10,27,1.1450996398925781,2,1,11
156,25,30,10,27,1.8552525043487549,1,1,12
157,25,30,10,27,1.1335904598236084,2,1,12
158,25,30,10,27,1.8787622451782227,1,1,13
159,25,30,10,27,1.1671130657196045,2,1,13
160,25,30,10,27,2.0319788455963135,1,1,14
161,25,30,10,27,1.2481489181518555,2,1,14
162,25,30,10,30,1.9790689945220947,1,1,6
163,25,30,10,30,1.2325928211212158,2,1,6
164,25,30,10,30,2.1020567417144775,1,1,7
165,25,30,10,30,1.2859339714050293,2,1,7
166,25,30,10,30,2.017287254333496,1,1,8
167,25,30,10,30,1.2651944160461426,2,1,8
168,25,30,10,30,2.1608893871307373,1,1,9
169,25,30,10,30,1.3645849227905273,2,1,9
170,25,30,10,30,2.186523914337158,1,1,10
171,25,30,10,30,1.3487732410430908,2,1,10
172,25,30,10,30,2.1772916316986084,1,1,11
173,25,30,10,30,1.3508799076080322,2,1,11
174,25,30,10,30,2.3997461795806885,1,1,12
175,25,30,10,30,1.5041935443878174,2,1,12
176,25,30,10,30,2.3351070880889893,1,1,13
177,25,30,10,30,1.534959316253662,2,1,13
178,25,30,10,30,2.806358814239502,1,1,14
179,25,30,10,30,1.6476233005523682,2,1,14
