,initial_rank,rounding_rank,mode_size,kernels,time,Потоки,kappa,retry
0,25,30,20,10,1.4962232112884521,1,1,6
1,25,30,20,10,0.9915204048156738,2,1,6
2,25,30,20,10,1.371558427810669,1,1,7
3,25,30,20,10,0.8908944129943848,2,1,7
4,25,30,20,10,1.4146654605865479,1,1,8
5,25,30,20,10,0.8873121738433838,2,1,8
6,25,30,20,10,1.4443821907043457,1,1,9
7,25,30,20,10,0.9095349311828613,2,1,9
8,25,30,20,10,1.345351219177246,1,1,10
9,25,30,20,10,0.8541016578674316,2,1,10
10,25,30,20,10,1.2790446281433105,1,1,11
11,25,30,20,10,0.8140912055969238,2,1,11
12,25,30,20,10,1.2786962985992432,1,1,12
13,25,30,20,10,0.8162267208099365,2,1,12
14,25,30,20,10,1.365835189819336,1,1,13
15,25,30,20,10,0.8502068519592285,2,1,13
16,25,30,20,10,1.372589349746704,1,1,14
17,25,30,20,10,0.8816142082214355,2,1,14
18,25,30,25,10,1.8280179500579834,1,1,6
19,25,30,25,10,1.1645467281341553,2,1,6
20,25,30,25,10,1.9516355991363525,1,1,7
21,25,30,25,10,1.251096487045288,2,1,7
22,25,30,25,10,1.9153776168823242,1,1,8
23,25,30,25,10,1.231135606765747,2,1,8
24,25,30,25,10,1.8751778602600098,1,1,9
25,25,30,25,10,1.2302329540252686,2,1,9
26,25,30,25,10,1.8785557746887207,1,1,10
27,25,30,25,10,1.1864068508148193,2,1,10
28,25,30,25,10,1.868933916091919,1,1,11
29,25,30,25,10,1.1854453086853027,2,1,11
30,25,30,25,10,1.8483526706695557,1,1,12
31,25,30,25,10,1.1713659763336182,2,1,12
32,25,30,25,10,1.8764324188232422,1,1,13
33,25,30,25,10,1.1893093585968018,2,1,13
34,25,30,25,10,2.0337839126586914,1,1,14
35,25,30,25,10,1.3180463314056396,2,1,14
36,25,30,30,10,2.083153486251831,1,1,6
37,25,30,30,10,1.3187534809112549,2,1,6
38,25,30,30,10,2.129302978515625,1,1,7
39,25,30,30,10,1.357501745223999,2,1,7
40,25,30,30,10,2.1349399089813232,1,1,8
41,25,30,30,10,1.3263802528381348,2,1,8
42,25,30,30,10,2.0918822288513184,1,1,9
43,25,30,30,10,1.324645757675171,2,1,9
