,precision,rounding_rank,kappa
0,1.0667581099868625e-06,35,1.0
1,4.865275302894857e-07,35,1.5
2,4.282044662665987e-07,35,2.0
3,2.213401716484521e-07,35,2.5
4,3.213736133069505e-07,35,3.0
5,1.3344122956364055e-07,35,3.5
6,5.168109556481061e-08,35,4.0
7,5.512810557228747e-07,35,1.0
8,7.599364709166024e-07,35,1.5
9,3.1331979115841796e-07,35,2.0
10,1.9114841932066939e-07,35,2.5
11,1.1467289145044758e-07,35,3.0
12,3.2937196052748035e-07,35,3.5
13,1.8166910578152632e-07,35,4.0
14,2.916885086348547e-06,35,1.0
15,3.9467020141938477e-07,35,1.5
16,7.970938497233799e-07,35,2.0
17,2.7788587794774033e-07,35,2.5
18,8.594913307734125e-08,35,3.0
19,1.125152321036219e-07,35,3.5
20,1.419939269046352e-07,35,4.0
21,2.3893272397366035e-06,35,1.0
22,4.945695968810971e-07,35,1.5
23,4.4740701846210215e-07,35,2.0
24,5.205554917447435e-07,35,2.5
25,1.6956878224886893e-07,35,3.0
26,1.3980086148556581e-07,35,3.5
27,2.3867951279502688e-08,35,4.0
28,2.2131475985319377e-06,35,1.0
29,4.41569649527377e-07,35,1.5
30,4.137471041219914e-07,35,2.0
31,4.4783468831900036e-07,35,2.5
32,8.836092862974872e-08,35,3.0
33,6.627313319275943e-08,35,3.5
34,1.9322044095596606e-07,35,4.0
35,2.0316238522139934e-06,40,1.0
36,2.3970282962129967e-07,40,1.5
37,1.83103812436284e-07,40,2.0
38,2.349037315749328e-08,40,2.5
39,1.9237622359977093e-08,40,3.0
40,2.8007695976430383e-08,40,3.5
41,2.445261088686248e-08,40,4.0
42,4.49200050673566e-07,40,1.0
43,1.1897440692467297e-07,40,1.5
44,5.728571349385912e-08,40,2.0
45,8.185426680480617e-08,40,2.5
46,2.355399590357902e-08,40,3.0
47,3.079128222209343e-08,40,3.5
48,2.205311849323785e-08,40,4.0
49,1.008685094848507e-06,40,1.0
50,1.1414993822586122e-07,40,1.5
51,3.724733618305771e-08,40,2.0
52,3.609710048630537e-08,40,2.5
53,5.7516622924369706e-08,40,3.0
54,4.00114536527883e-08,40,3.5
55,3.458355107356961e-08,40,4.0
56,5.795879739646975e-07,40,1.0
57,1.1727609833949559e-07,40,1.5
58,1.6984207291334797e-08,40,2.0
59,5.32092707008916e-08,40,2.5
60,8.573827331876574e-08,40,3.0
61,4.549359957834052e-08,40,3.5
62,2.0271415146943276e-08,40,4.0
63,2.647957326287935e-07,40,1.0
64,4.0643791113688126e-08,40,1.5
65,9.837931591833968e-08,40,2.0
66,8.074117248930986e-08,40,2.5
67,8.807529753816715e-08,40,3.0
68,5.477524437573114e-08,40,3.5
69,5.466652609082691e-08,40,4.0
70,8.859180459300645e-08,45,1.0
71,5.339868126956199e-08,45,1.5
72,6.781286941675048e-08,45,2.0
73,9.826523359594257e-09,45,2.5
74,1.2998137318634588e-08,45,3.0
75,1.0170369039143394e-08,45,3.5
76,3.9663273945634116e-09,45,4.0
77,7.053892268274077e-08,45,1.0
78,3.9352671591746123e-08,45,1.5
79,1.2589118444973832e-08,45,2.0
80,1.986455858126095e-08,45,2.5
81,8.83035603672094e-09,45,3.0
82,5.114730397370562e-09,45,3.5
83,2.095192707700199e-08,45,4.0
84,1.1149603421514105e-07,45,1.0
85,5.0197279521502544e-08,45,1.5
86,2.77023324933861e-08,45,2.0
87,1.952784574726501e-08,45,2.5
88,5.2165746126953916e-09,45,3.0
89,2.4516630853067294e-08,45,3.5
90,1.310949839308165e-08,45,4.0
91,1.1663232445866878e-07,45,1.0
92,5.988249114114735e-08,45,1.5
93,2.134441134591209e-08,45,2.0
94,1.4730674192997044e-08,45,2.5
95,6.028748753674144e-09,45,3.0
96,6.674965867715742e-09,45,3.5
97,7.541007238203196e-09,45,4.0
98,9.590967223107545e-08,45,1.0
99,1.3157366560968627e-08,45,1.5
100,4.5909335440903706e-08,45,2.0
101,2.1085785658491515e-08,45,2.5
102,1.1284118489723863e-08,45,3.0
103,3.538078143046289e-09,45,3.5
104,6.7844658681719555e-09,45,4.0
105,7.447225695418904e-08,50,1.0
106,1.5789118785999635e-08,50,1.5
107,9.937962301596666e-09,50,2.0
108,3.856342261367913e-09,50,2.5
109,4.921027412862501e-09,50,3.0
110,5.874706633604525e-10,50,3.5
111,3.3896029346557083e-09,50,4.0
112,7.752700812520022e-08,50,1.0
113,1.930303198472231e-08,50,1.5
114,5.912297475723646e-09,50,2.0
115,1.078265783225339e-08,50,2.5
116,2.508447930878814e-09,50,3.0
117,1.9760825896513692e-09,50,3.5
118,8.952609093231114e-09,50,4.0
119,5.213175632727384e-08,50,1.0
120,1.278829741006064e-08,50,1.5
121,1.0173229542075394e-08,50,2.0
122,2.347670944486469e-09,50,2.5
123,5.904102124593545e-09,50,3.0
124,5.908640741804255e-09,50,3.5
125,4.25794649725912e-09,50,4.0
126,4.552245462044359e-08,50,1.0
127,2.5561901055265382e-08,50,1.5
128,6.246279883257276e-09,50,2.0
129,3.18846910851803e-09,50,2.5
130,2.757430133448792e-09,50,3.0
131,4.07646050686818e-09,50,3.5
132,6.47643715730438e-09,50,4.0
133,4.374997648302898e-08,50,1.0
134,1.2577573906278585e-08,50,1.5
135,4.936509680725411e-09,50,2.0
136,7.186871967237902e-09,50,2.5
137,5.7623297328743535e-09,50,3.0
138,2.003297732628656e-09,50,3.5
139,3.581488618308391e-09,50,4.0
140,5.166811710746875e-08,55,1.0
