,precision,rounding_rank,oversampling
0,3.2138599504811616e-07,35,0
1,1.662336855821115e-07,35,1
2,1.2990472452049947e-07,35,2
3,5.972248743646383e-08,35,3
4,7.198831877371024e-08,35,5
5,4.8930399936103114e-08,35,7
6,2.3509962477736874e-08,35,10
7,1.1467646980044487e-07,35,0
8,9.84812615256691e-08,35,1
9,1.0063355746825977e-07,35,2
10,2.518447753055864e-07,35,3
11,3.4766240777411497e-08,35,5
12,8.202653404026212e-09,35,7
13,5.809937122130698e-09,35,10
14,8.594718763843765e-08,35,0
15,7.149897891399234e-08,35,1
16,8.576762567489362e-08,35,2
17,2.9811085546757285e-08,35,3
18,5.740669877229943e-08,35,5
19,2.449961204035099e-08,35,7
20,1.1271557912900305e-08,35,10
21,1.695750989352359e-07,35,0
22,7.423687791604916e-08,35,1
23,8.585756153829662e-08,35,2
24,3.2857884150511274e-08,35,3
25,5.947728385918934e-08,35,5
26,1.3332027734037146e-08,35,7
27,2.190579453276558e-08,35,10
28,8.836449295202678e-08,35,0
29,6.83455432692092e-08,35,1
30,1.5290851445788658e-07,35,2
31,9.308770123926686e-08,35,3
32,4.730603768524261e-08,35,5
33,1.1212193906607241e-08,35,7
34,1.7989660410937576e-08,35,10
35,1.9237077486870055e-08,40,0
36,1.5278446220823438e-08,40,1
37,2.0672890740226692e-08,40,2
38,2.0225895881796332e-08,40,3
39,1.60518661970419e-08,40,5
40,7.349473349337335e-09,40,7
41,3.2327469774314477e-09,40,10
42,2.3553666393598092e-08,40,0
43,2.3071267660881755e-08,40,1
44,2.3503738423203213e-08,40,2
45,2.416341180012249e-08,40,3
46,1.1826074468350877e-08,40,5
47,1.7099128436614877e-09,40,7
48,6.759460172715096e-09,40,10
49,5.751279073101964e-08,40,0
50,2.0199114509880192e-08,40,1
51,3.174091767544454e-08,40,2
52,4.1315018460167644e-08,40,3
53,2.4571894709381248e-08,40,5
54,2.9626734205305073e-09,40,7
55,2.6563885504160877e-09,40,10
56,8.574035667282866e-08,40,0
57,7.170665031814365e-08,40,1
58,2.5350806464441364e-08,40,2
59,3.213710130798308e-08,40,3
60,1.4660837121753266e-08,40,5
61,6.032752819951756e-09,40,7
62,7.126640444902007e-09,40,10
63,8.806354614823285e-08,40,0
64,3.9684079181186444e-08,40,1
65,2.8175204690277908e-08,40,2
66,5.607342196088901e-09,40,3
67,8.215445397811436e-09,40,5
68,3.5614283094281836e-09,40,7
69,4.733650727178345e-09,40,10
70,1.2997044171858791e-08,45,0
71,1.7968841859874297e-09,45,1
72,7.357286209253325e-09,45,2
73,4.755439813274204e-09,45,3
74,9.447626001847802e-09,45,5
75,2.0116398842814742e-09,45,7
76,9.520415783860465e-10,45,10
77,8.830402443903185e-09,45,0
78,4.7087907011691475e-08,45,1
79,5.542939733524545e-09,45,2
80,6.854602687326656e-09,45,3
81,9.238289830612078e-09,45,5
82,2.0011289947729078e-09,45,7
83,6.681156816588659e-10,45,10
84,5.216984142886715e-09,45,0
85,4.189426563178903e-09,45,1
86,1.719844642703782e-08,45,2
87,5.422114672880022e-09,45,3
88,4.320054588895915e-09,45,5
89,1.3078048499126785e-09,45,7
90,1.9879948400167044e-09,45,10
91,6.028346512727877e-09,45,0
92,5.457678992596075e-09,45,1
93,1.0557819650296596e-08,45,2
94,6.481857445853435e-09,45,3
95,5.589232768238272e-09,45,5
96,4.658037544349935e-09,45,7
97,8.024653695261241e-10,45,10
98,1.1284458318002346e-08,45,0
99,1.0937974217638909e-08,45,1
100,9.94755884835783e-09,45,2
101,4.537418578398981e-09,45,3
102,6.887373797369825e-09,45,5
103,2.150111379353308e-09,45,7
104,2.489685561397118e-09,45,10
105,4.92111353651008e-09,50,0
106,4.671905247391183e-09,50,1
107,1.428055834971327e-09,50,2
108,6.866484858007238e-10,50,3
109,5.97853835422353e-10,50,5
110,8.802123582734741e-10,50,7
111,3.7377896765523376e-10,50,10
112,2.508379023273501e-09,50,0
113,6.073408345197988e-09,50,1
114,1.1556355109576036e-09,50,2
115,3.1545809872327766e-09,50,3
116,8.642435544334186e-10,50,5
117,2.029840744066753e-09,50,7
118,2.823503452149362e-10,50,10
119,5.904037742418304e-09,50,0
120,4.78153117157438e-09,50,1
121,1.5222741638155954e-09,50,2
122,2.2446849172070897e-09,50,3
123,3.1388364399212567e-09,50,5
124,1.5737898912739954e-09,50,7
125,9.482472564922669e-10,50,10
126,2.757203471048625e-09,50,0
127,1.6810488915031887e-09,50,1
128,2.3292277828813346e-09,50,2
129,2.0963167642861237e-09,50,3
130,1.011721278713254e-09,50,5
131,2.7682484802430054e-10,50,7
132,6.30264857063084e-10,50,10
133,5.762177822794722e-09,50,0
134,3.4503294727067537e-09,50,1
135,1.5358947636030268e-09,50,2
136,3.730565007860115e-09,50,3
137,9.827995764959737e-10,50,5
138,1.7975839115421208e-09,50,7
139,2.4454835888351786e-10,50,10
140,5.639487729083185e-10,55,0
141,9.038242514072124e-10,55,1
142,9.232174486253147e-10,55,2
143,5.980926835303918e-10,55,3
144,1.3038806425924926e-09,55,5
145,2.970820018665121e-10,55,7
146,1.9237856113508627e-10,55,10
147,8.140460104842414e-10,55,0
148,6.183585464601043e-10,55,1
149,1.6750285717244172e-09,55,2
150,1.2447107162596434e-09,55,3
151,5.543917649270007e-10,55,5
152,1.9881208610558176e-10,55,7
153,2.3172828655313466e-10,55,10
154,1.534646691962453e-09,55,0
155,1.622601182461523e-09,55,1
156,1.3046602153224773e-09,55,2
157,8.765041804307701e-10,55,3
158,2.8280401589675777e-10,55,5
159,2.9855412134029395e-10,55,7
160,1.6862213083987043e-10,55,10
161,1.1890279742111943e-09,55,0
162,7.418208815850727e-10,55,1
163,1.4050124553084194e-09,55,2
164,7.934347965860731e-10,55,3
165,4.297280394104826e-10,55,5
166,3.67806290383185e-10,55,7
167,1.1198894489738665e-10,55,10
168,1.2777714194740556e-09,55,0
169,9.107439663275835e-10,55,1
170,1.6835574252092564e-09,55,2
171,1.9610618681423574e-10,55,3
172,5.092094479949338e-10,55,5
173,1.2448167379591003e-10,55,7
174,8.352434348412695e-11,55,10
175,4.846389980794048e-10,60,0
176,4.86814024901438e-10,60,1
177,3.0924061199816095e-10,60,2
178,4.5827000306371027e-10,60,3
179,3.6456375408383963e-10,60,5
180,2.183604504422025e-10,60,7
181,6.783637077066194e-11,60,10
182,5.857332161468143e-10,60,0
183,3.2043497855867113e-10,60,1
184,3.5840896889306775e-10,60,2
185,3.4025170733926913e-10,60,3
186,1.620139021272531e-10,60,5
187,3.6023948524931955e-10,60,7
188,1.3348533130223047e-10,60,10
189,6.087006155789698e-10,60,0
190,2.8706712178461473e-10,60,1
191,3.3048656710512065e-10,60,2
192,2.394074679265975e-10,60,3
193,2.1986927061854857e-10,60,5
194,2.437180386106548e-10,60,7
195,9.763549731091142e-11,60,10
196,4.671002619100629e-10,60,0
197,1.517203308127463e-10,60,1
198,2.532342848895488e-10,60,2
199,1.215077620137965e-10,60,3
200,2.793405537399667e-10,60,5
201,1.9129768981228635e-10,60,7
202,1.9702451808121323e-10,60,10
203,6.743950775719815e-10,60,0
204,6.691575671081985e-10,60,1
205,4.314748550888489e-10,60,2
206,3.035743165457058e-10,60,3
207,5.479908808291516e-10,60,5
208,2.4182316512151737e-10,60,7
209,2.203424195161575e-10,60,10
210,3.8954679058881444e-10,65,0
211,3.317785722198926e-10,65,1
212,1.481914694396839e-10,65,2
213,3.4386342216127593e-10,65,3
214,1.043485613685424e-10,65,5
215,9.433089647828077e-11,65,7
216,9.583568439067891e-11,65,10
217,3.215082272308573e-10,65,0
218,1.7120918140244726e-10,65,1
219,2.2811025427594074e-10,65,2
220,1.679900470620767e-10,65,3
221,1.289925299087684e-10,65,5
222,9.515060681156115e-11,65,7
223,3.3424156617893585e-11,65,10
224,6.984280795064291e-10,65,0
225,2.7409718439547235e-10,65,1
226,1.2592187464887423e-10,65,2
227,1.1863802656113219e-10,65,3
228,7.406552038755091e-11,65,5
229,1.623097888862423e-10,65,7
230,4.311248340568336e-11,65,10
231,1.4466135594704292e-10,65,0
232,3.0808204155660024e-10,65,1
233,2.1688779830552089e-10,65,2
234,8.548570734927538e-11,65,3
235,1.0866011818432418e-10,65,5
236,8.688072969663905e-11,65,7
237,1.1094560159792684e-10,65,10
238,8.993470444206399e-11,65,0
